,REGIONID,PRODUCT,YEARWEEK,QTY
0,A00,PRODUCT34,201401,661.0
1,A00,PRODUCT58,201401,0.0
2,A00,PRODUCT59,201401,9988.0
3,A01,PRODUCT1,201401,14115.0
4,A01,PRODUCT12,201401,139564.0
5,A01,PRODUCT14,201401,9844.0
6,A01,PRODUCT15,201401,5684.0
7,A01,PRODUCT16,201401,1316.0
8,A01,PRODUCT19,201401,1519.0
9,A01,PRODUCT2,201401,225.0
10,A01,PRODUCT20,201401,41.0
11,A01,PRODUCT33,201401,7043.0
12,A01,PRODUCT34,201401,14836.0
13,A01,PRODUCT4,201401,18722.0
14,A01,PRODUCT47,201401,5650.0
15,A01,PRODUCT56,201401,5000.0
16,A01,PRODUCT57,201401,9660.0
17,A01,PRODUCT58,201401,0.0
18,A01,PRODUCT59,201401,253391.0
19,A01,PRODUCT6,201401,0.0
20,A01,PRODUCT60,201401,13.0
21,A01,PRODUCT62,201401,5987.0
22,A01,PRODUCT63,201401,47708.0
23,A01,PRODUCT7,201401,1153.0
24,A01,PRODUCT75,201401,15798.0
25,A01,PRODUCT8,201401,164.0
26,A02,PRODUCT1,201401,321.0
27,A02,PRODUCT12,201401,9487.0
28,A02,PRODUCT14,201401,2272.0
29,A02,PRODUCT16,201401,0.0
30,A02,PRODUCT2,201401,6198.0
31,A02,PRODUCT33,201401,2089.0
32,A02,PRODUCT34,201401,1104.0
33,A02,PRODUCT4,201401,2792.0
34,A02,PRODUCT47,201401,1844.0
35,A02,PRODUCT56,201401,93.0
36,A02,PRODUCT57,201401,70.0
37,A02,PRODUCT58,201401,294.0
38,A02,PRODUCT59,201401,32183.0
39,A02,PRODUCT6,201401,0.0
40,A02,PRODUCT60,201401,62.0
41,A02,PRODUCT62,201401,505.0
42,A02,PRODUCT63,201401,2309.0
43,A03,PRODUCT1,201401,325.0
44,A03,PRODUCT12,201401,11114.0
45,A03,PRODUCT14,201401,76.0
46,A03,PRODUCT15,201401,2996.0
47,A03,PRODUCT16,201401,4372.0
48,A03,PRODUCT2,201401,1412.0
49,A03,PRODUCT33,201401,651.0
50,A03,PRODUCT34,201401,598.0
51,A03,PRODUCT4,201401,1755.0
52,A03,PRODUCT47,201401,168.0
53,A03,PRODUCT56,201401,152.0
54,A03,PRODUCT57,201401,1473.0
55,A03,PRODUCT58,201401,277.0
56,A03,PRODUCT59,201401,29695.0
57,A03,PRODUCT6,201401,10.0
58,A03,PRODUCT62,201401,1437.0
59,A03,PRODUCT63,201401,3435.0
60,A04,PRODUCT1,201401,2178.0
61,A04,PRODUCT12,201401,15193.0
62,A04,PRODUCT14,201401,42.0
63,A04,PRODUCT15,201401,188.0
64,A04,PRODUCT16,201401,18.0
65,A04,PRODUCT17,201401,67.0
66,A04,PRODUCT33,201401,1062.0
67,A04,PRODUCT34,201401,6246.0
68,A04,PRODUCT4,201401,2642.0
69,A04,PRODUCT40,201401,252.0
70,A04,PRODUCT47,201401,6.0
71,A04,PRODUCT56,201401,65.0
72,A04,PRODUCT57,201401,1884.0
73,A04,PRODUCT58,201401,0.0
74,A04,PRODUCT59,201401,38905.0
75,A04,PRODUCT60,201401,5.0
76,A04,PRODUCT62,201401,561.0
77,A04,PRODUCT63,201401,839.0
78,A05,PRODUCT1,201401,80.0
79,A05,PRODUCT12,201401,2188.0
80,A05,PRODUCT14,201401,28.0
81,A05,PRODUCT15,201401,1006.0
82,A05,PRODUCT16,201401,338.0
83,A05,PRODUCT17,201401,16.0
84,A05,PRODUCT2,201401,0.0
85,A05,PRODUCT33,201401,569.0
86,A05,PRODUCT34,201401,234.0
87,A05,PRODUCT4,201401,1811.0
88,A05,PRODUCT40,201401,209.0
89,A05,PRODUCT47,201401,72.0
90,A05,PRODUCT56,201401,1137.0
91,A05,PRODUCT57,201401,156.0
92,A05,PRODUCT58,201401,0.0
93,A05,PRODUCT59,201401,18867.0
94,A05,PRODUCT60,201401,1065.0
95,A05,PRODUCT62,201401,3457.0
96,A05,PRODUCT63,201401,536.0
97,A06,PRODUCT12,201401,2009.0
98,A06,PRODUCT33,201401,86.0
99,A06,PRODUCT34,201401,2343.0
100,A06,PRODUCT56,201401,10.0
101,A06,PRODUCT57,201401,130.0
102,A06,PRODUCT58,201401,0.0
103,A06,PRODUCT59,201401,30049.0
104,A06,PRODUCT60,201401,117.0
105,A06,PRODUCT62,201401,152.0
106,A07,PRODUCT1,201401,91.0
107,A07,PRODUCT12,201401,7259.0
108,A07,PRODUCT15,201401,345.0
109,A07,PRODUCT16,201401,54.0
110,A07,PRODUCT33,201401,504.0
111,A07,PRODUCT34,201401,152.0
112,A07,PRODUCT36,201401,0.0
113,A07,PRODUCT4,201401,181.0
114,A07,PRODUCT40,201401,12.0
115,A07,PRODUCT56,201401,81.0
116,A07,PRODUCT57,201401,81.0
117,A07,PRODUCT58,201401,0.0
118,A07,PRODUCT59,201401,5199.0
119,A07,PRODUCT60,201401,249.0
120,A07,PRODUCT61,201401,4.0
121,A07,PRODUCT63,201401,184.0
122,A08,PRODUCT1,201401,1436.0
123,A08,PRODUCT12,201401,21059.0
124,A08,PRODUCT14,201401,258.0
125,A08,PRODUCT15,201401,244.0
126,A08,PRODUCT16,201401,35.0
127,A08,PRODUCT33,201401,1366.0
128,A08,PRODUCT34,201401,1047.0
129,A08,PRODUCT36,201401,1.0
130,A08,PRODUCT4,201401,1467.0
131,A08,PRODUCT40,201401,103.0
132,A08,PRODUCT47,201401,6.0
133,A08,PRODUCT56,201401,88.0
134,A08,PRODUCT57,201401,9.0
135,A08,PRODUCT58,201401,0.0
136,A08,PRODUCT59,201401,35320.0
137,A08,PRODUCT60,201401,414.0
138,A08,PRODUCT61,201401,0.0
139,A08,PRODUCT63,201401,1467.0
140,A09,PRODUCT1,201401,1214.0
141,A09,PRODUCT12,201401,12273.0
142,A09,PRODUCT14,201401,7.0
143,A09,PRODUCT15,201401,390.0
144,A09,PRODUCT16,201401,295.0
145,A09,PRODUCT2,201401,0.0
146,A09,PRODUCT33,201401,617.0
147,A09,PRODUCT34,201401,3470.0
148,A09,PRODUCT4,201401,738.0
149,A09,PRODUCT40,201401,88.0
150,A09,PRODUCT47,201401,24.0
151,A09,PRODUCT56,201401,194.0
152,A09,PRODUCT57,201401,133.0
153,A09,PRODUCT58,201401,0.0
154,A09,PRODUCT59,201401,45444.0
155,A09,PRODUCT60,201401,701.0
156,A09,PRODUCT61,201401,52.0
157,A09,PRODUCT63,201401,1623.0
158,A10,PRODUCT1,201401,4221.0
159,A10,PRODUCT12,201401,52065.0
160,A10,PRODUCT14,201401,78.0
161,A10,PRODUCT15,201401,425.0
162,A10,PRODUCT16,201401,756.0
163,A10,PRODUCT2,201401,0.0
164,A10,PRODUCT33,201401,773.0
165,A10,PRODUCT34,201401,7609.0
166,A10,PRODUCT4,201401,5606.0
167,A10,PRODUCT40,201401,15.0
168,A10,PRODUCT47,201401,10.0
169,A10,PRODUCT56,201401,140.0
170,A10,PRODUCT58,201401,0.0
171,A10,PRODUCT59,201401,86437.0
172,A10,PRODUCT60,201401,478.0
173,A10,PRODUCT61,201401,0.0
174,A10,PRODUCT63,201401,10828.0
175,A11,PRODUCT1,201401,367.0
176,A11,PRODUCT12,201401,1947.0
177,A11,PRODUCT15,201401,70.0
178,A11,PRODUCT16,201401,44.0
179,A11,PRODUCT33,201401,282.0
180,A11,PRODUCT34,201401,44.0
181,A11,PRODUCT4,201401,80.0
182,A11,PRODUCT40,201401,30.0
183,A11,PRODUCT56,201401,5.0
184,A11,PRODUCT57,201401,2.0
185,A11,PRODUCT58,201401,0.0
186,A11,PRODUCT59,201401,5178.0
187,A11,PRODUCT60,201401,100.0
188,A11,PRODUCT63,201401,123.0
189,A12,PRODUCT1,201401,720.0
190,A12,PRODUCT12,201401,12370.0
191,A12,PRODUCT14,201401,31.0
192,A12,PRODUCT15,201401,133.0
193,A12,PRODUCT16,201401,15.0
194,A12,PRODUCT33,201401,578.0
195,A12,PRODUCT34,201401,1214.0
196,A12,PRODUCT4,201401,125.0
197,A12,PRODUCT40,201401,19.0
198,A12,PRODUCT47,201401,8.0
199,A12,PRODUCT56,201401,40.0
200,A12,PRODUCT57,201401,182.0
201,A12,PRODUCT58,201401,0.0
202,A12,PRODUCT59,201401,39585.0
203,A12,PRODUCT60,201401,310.0
204,A12,PRODUCT63,201401,416.0
205,A13,PRODUCT1,201401,1430.0
206,A13,PRODUCT12,201401,11832.0
207,A13,PRODUCT14,201401,57.0
208,A13,PRODUCT15,201401,0.0
209,A13,PRODUCT26,201401,0.0
210,A13,PRODUCT33,201401,87.0
211,A13,PRODUCT34,201401,1191.0
212,A13,PRODUCT38,201401,0.0
213,A13,PRODUCT4,201401,360.0
214,A13,PRODUCT40,201401,139.0
215,A13,PRODUCT41,201401,0.0
216,A13,PRODUCT42,201401,0.0
217,A13,PRODUCT47,201401,0.0
218,A13,PRODUCT5,201401,0.0
219,A13,PRODUCT51,201401,0.0
220,A13,PRODUCT52,201401,0.0
221,A13,PRODUCT56,201401,2.0
222,A13,PRODUCT58,201401,0.0
